customer_id,segment,fact_type,condition,expected_answer,model_answer,correct,verdict,context_n_char,context_text
cust_7517,leve,last_entity,sem_retrieval,ent_57,,False,malformed,64,Nenhuma informação adicional sobre este cliente está disponível.
cust_7517,leve,last_entity,contexto_completo,ent_57,ent_57,True,correct,422,"Histórico completo de eventos do cliente cust_7517 (5 eventos):
- Evento: interação com ent_57 via search em ts=1701936770 (canal=app)
- Evento: interação com ent_31 via view em ts=1700935940 (canal=app)
- Evento: interação com ent_28 via support_ticket em ts=1700515880 (canal=app)
- Evento: interação com ent_35 via view em ts=1700169560 (canal=web)
- Evento: interação com ent_31 via search em ts=1700125100 (canal=app)"
cust_7517,leve,last_entity,topk_estatico,ent_57,,False,malformed,242,"## Contexto do cliente: cust_7517 (top-3 por frequência)
- ent_31 (2 interações) [view, search], último em ts=1700935940
- ent_35 (1 interações) [view], último em ts=1700169560
- ent_28 (1 interações) [support_ticket], último em ts=1700515880"
cust_7517,leve,last_entity,hibrido_sob_demanda,ent_57,ent_57,True,correct,451,"## Contexto do cliente: cust_7517
Canais com atividade encontrada: 2 (app, web)
Resumo de atividade (5 eventos totais): search: 2, view: 2, support_ticket: 1

### Entidades mais relevantes (ranqueadas por PageRank personalizado)
- ent_31 (relevância=0.023): 2 eventos [view, search], último em ts=1700935940
- ent_35 (relevância=0.020): 1 eventos [view], último em ts=1700169560
- ent_57 (relevância=0.019): 1 eventos [search], último em ts=1701936770"
cust_7517,leve,last_entity,sessao_memoria,ent_57,ent_57,True,correct,402,"## Contexto do cliente: cust_7517 (turno 0)
Resumo de atividade (5 eventos totais): search: 2, view: 2, support_ticket: 1

- ent_31 (relevância=0.065): estado mais recente = view em ts=1700935940 (havia também interações anteriores registradas)
- ent_57 (relevância=0.053): estado mais recente = search em ts=1701936770
- ent_28 (relevância=0.040): estado mais recente = support_ticket em ts=1700515880"
cust_7517,leve,last_entity,sessao_memoria_sem_clash,ent_57,ent_57,True,correct,312,"## Contexto do cliente: cust_7517 (turno 0)
Resumo de atividade (5 eventos totais): search: 2, view: 2, support_ticket: 1

- ent_31 (relevância=0.065): view em ts=1700935940; search em ts=1700125100
- ent_57 (relevância=0.053): search em ts=1701936770
- ent_28 (relevância=0.040): support_ticket em ts=1700515880"
cust_8930,leve,last_entity,sem_retrieval,ent_2,,False,malformed,64,Nenhuma informação adicional sobre este cliente está disponível.
cust_8930,leve,last_entity,contexto_completo,ent_2,ent_2,True,correct,425,"Histórico completo de eventos do cliente cust_8930 (5 eventos):
- Evento: interação com ent_2 via add_to_cart em ts=1702576580 (canal=app)
- Evento: interação com ent_38 via view em ts=1702041680 (canal=web)
- Evento: interação com ent_48 via search em ts=1701872210 (canal=app)
- Evento: interação com ent_14 via support_ticket em ts=1701034850 (canal=app)
- Evento: interação com ent_9 via view em ts=1700705570 (canal=web)"
cust_8930,leve,last_entity,topk_estatico,ent_2,,False,malformed,235,"## Contexto do cliente: cust_8930 (top-3 por frequência)
- ent_9 (1 interações) [view], último em ts=1700705570
- ent_14 (1 interações) [support_ticket], último em ts=1701034850
- ent_48 (1 interações) [search], último em ts=1701872210"
cust_8930,leve,last_entity,hibrido_sob_demanda,ent_2,ent_2,True,correct,473,"## Contexto do cliente: cust_8930
Canais com atividade encontrada: 2 (app, web)
Resumo de atividade (5 eventos totais): view: 2, support_ticket: 1, search: 1, add_to_cart: 1

### Entidades mais relevantes (ranqueadas por PageRank personalizado)
- ent_38 (relevância=0.024): 1 eventos [view], último em ts=1702041680
- ent_14 (relevância=0.022): 1 eventos [support_ticket], último em ts=1701034850
- ent_2 (relevância=0.018): 1 eventos [add_to_cart], último em ts=1702576580"
cust_8930,leve,last_entity,sessao_memoria,ent_2,ent_2,True,correct,373,"## Contexto do cliente: cust_8930 (turno 0)
Resumo de atividade (5 eventos totais): view: 2, support_ticket: 1, search: 1, add_to_cart: 1

- ent_2 (relevância=0.048): estado mais recente = add_to_cart em ts=1702576580
- ent_14 (relevância=0.048): estado mais recente = support_ticket em ts=1701034850
- ent_38 (relevância=0.043): estado mais recente = view em ts=1702041680"
cust_8930,leve,last_entity,sessao_memoria_sem_clash,ent_2,ent_2,True,correct,307,"## Contexto do cliente: cust_8930 (turno 0)
Resumo de atividade (5 eventos totais): view: 2, support_ticket: 1, search: 1, add_to_cart: 1

- ent_2 (relevância=0.048): add_to_cart em ts=1702576580
- ent_14 (relevância=0.048): support_ticket em ts=1701034850
- ent_38 (relevância=0.043): view em ts=1702041680"
cust_3954,leve,last_entity,sem_retrieval,ent_14,,False,malformed,64,Nenhuma informação adicional sobre este cliente está disponível.
cust_3954,leve,last_entity,contexto_completo,ent_14,,False,malformed,203,"Histórico completo de eventos do cliente cust_3954 (2 eventos):
- Evento: interação com ent_19 via search em ts=1701504350 (canal=web)
- Evento: interação com ent_40 via view em ts=1700707250 (canal=app)"
cust_3954,leve,last_entity,topk_estatico,ent_14,,False,malformed,170,"## Contexto do cliente: cust_3954 (top-3 por frequência)
- ent_40 (1 interações) [view], último em ts=1700707250
- ent_19 (1 interações) [search], último em ts=1701504350"
cust_3954,leve,last_entity,hibrido_sob_demanda,ent_14,ent_14,True,correct,463,"## Contexto do cliente: cust_3954
Canais com atividade encontrada: 2 (app, web)
Resumo de atividade (2 eventos totais): view: 1, search: 1

### Entidades mais relevantes (ranqueadas por PageRank personalizado)
- ent_19 (relevância=0.031): 1 eventos [search], último em ts=1701504350
- ent_40 (relevância=0.019): 1 eventos [view], último em ts=1700707250
- ent_14 (relevância=0.010): relacionada por padrão de comportamento similar, sem interação direta registrada"
cust_3954,leve,last_entity,sessao_memoria,ent_14,ent_14,True,correct,361,"## Contexto do cliente: cust_3954 (turno 0)
Resumo de atividade (2 eventos totais): view: 1, search: 1

- ent_19 (relevância=0.097): estado mais recente = search em ts=1701504350
- ent_40 (relevância=0.074): estado mais recente = view em ts=1700707250
- ent_14 (relevância=0.024): relacionada por padrão de comportamento similar, sem interação direta registrada"
cust_3954,leve,last_entity,sessao_memoria_sem_clash,ent_14,ent_14,True,correct,317,"## Contexto do cliente: cust_3954 (turno 0)
Resumo de atividade (2 eventos totais): view: 1, search: 1

- ent_19 (relevância=0.097): search em ts=1701504350
- ent_40 (relevância=0.074): view em ts=1700707250
- ent_14 (relevância=0.024): relacionada por padrão de comportamento similar, sem interação direta registrada"
cust_0,leve,last_entity,sem_retrieval,ent_18,,False,malformed,64,Nenhuma informação adicional sobre este cliente está disponível.
cust_0,leve,last_entity,contexto_completo,ent_18,,False,malformed,198,"Histórico completo de eventos do cliente cust_0 (2 eventos):
- Evento: interação com ent_11 via view em ts=1701390290 (canal=web)
- Evento: interação com ent_54 via view em ts=1700711780 (canal=web)"
cust_0,leve,last_entity,topk_estatico,ent_18,,False,malformed,165,"## Contexto do cliente: cust_0 (top-3 por frequência)
- ent_54 (1 interações) [view], último em ts=1700711780
- ent_11 (1 interações) [view], último em ts=1701390290"
cust_0,leve,last_entity,hibrido_sob_demanda,ent_18,,False,malformed,442,"## Contexto do cliente: cust_0
Canais com atividade encontrada: 1 (web)
Resumo de atividade (2 eventos totais): view: 2

### Entidades mais relevantes (ranqueadas por PageRank personalizado)
- ent_11 (relevância=0.036): 1 eventos [view], último em ts=1701390290
- ent_54 (relevância=0.035): 1 eventos [view], último em ts=1700711780
- ent_14 (relevância=0.015): relacionada por padrão de comportamento similar, sem interação direta registrada"
cust_0,leve,last_entity,sessao_memoria,ent_18,,False,malformed,345,"## Contexto do cliente: cust_0 (turno 0)
Resumo de atividade (2 eventos totais): view: 2

- ent_11 (relevância=0.086): estado mais recente = view em ts=1701390290
- ent_54 (relevância=0.082): estado mais recente = view em ts=1700711780
- ent_14 (relevância=0.032): relacionada por padrão de comportamento similar, sem interação direta registrada"
cust_0,leve,last_entity,sessao_memoria_sem_clash,ent_18,,False,malformed,301,"## Contexto do cliente: cust_0 (turno 0)
Resumo de atividade (2 eventos totais): view: 2

- ent_11 (relevância=0.086): view em ts=1701390290
- ent_54 (relevância=0.082): view em ts=1700711780
- ent_14 (relevância=0.032): relacionada por padrão de comportamento similar, sem interação direta registrada"
cust_9985,leve,last_entity,sem_retrieval,ent_37,,False,malformed,64,Nenhuma informação adicional sobre este cliente está disponível.
cust_9985,leve,last_entity,contexto_completo,ent_37,ent_37,True,correct,279,"Histórico completo de eventos do cliente cust_9985 (3 eventos):
- Evento: interação com ent_37 via view em ts=1702927400 (canal=web)
- Evento: interação com ent_59 via search em ts=1702190360 (canal=web)
- Evento: interação com ent_22 via add_to_cart em ts=1701439940 (canal=web)"
cust_9985,leve,last_entity,topk_estatico,ent_37,ent_37,True,correct,233,"## Contexto do cliente: cust_9985 (top-3 por frequência)
- ent_22 (1 interações) [add_to_cart], último em ts=1701439940
- ent_59 (1 interações) [search], último em ts=1702190360
- ent_37 (1 interações) [view], último em ts=1702927400"
