customer_id,fact_type,noise_pct,position,expected_answer,model_answer,correct,verdict,context_n_char
cust_2665,last_entity,0.0,inicio,ent_28,ent_28,True,correct,132
cust_2665,last_entity,0.5,inicio,ent_28,ent_28,True,correct,555
cust_2665,last_entity,0.5,meio,ent_28,ent_28,True,correct,579
cust_2665,last_entity,0.5,fim,ent_28,ent_28,True,correct,552
cust_2665,last_entity,0.9,inicio,ent_28,ent_28,True,correct,882
cust_2665,last_entity,0.9,meio,ent_28,ent_28,True,correct,851
cust_2665,last_entity,0.9,fim,ent_28,ent_28,True,correct,850
cust_1370,last_entity,0.0,inicio,ent_42,ent_42,True,correct,140
cust_1370,last_entity,0.5,inicio,ent_42,ent_42,True,correct,569
cust_1370,last_entity,0.5,meio,ent_42,ent_42,True,correct,568
cust_1370,last_entity,0.5,fim,ent_42,ent_42,True,correct,592
cust_1370,last_entity,0.9,inicio,ent_42,ent_42,True,correct,880
cust_1370,last_entity,0.9,meio,ent_42,ent_42,True,correct,853
cust_1370,last_entity,0.9,fim,ent_42,ent_42,True,correct,889
cust_4441,support_ticket_count,0.0,inicio,1,1,True,correct,107
cust_4441,support_ticket_count,0.5,inicio,1,1,True,correct,524
cust_4441,support_ticket_count,0.5,meio,1,1,True,correct,546
cust_4441,support_ticket_count,0.5,fim,1,1,True,correct,557
cust_4441,support_ticket_count,0.9,inicio,1,1,True,correct,823
cust_4441,support_ticket_count,0.9,meio,1,1,True,correct,824
cust_4441,support_ticket_count,0.9,fim,1,1,True,correct,832
cust_4289,support_ticket_count,0.0,inicio,1,1,True,correct,107
cust_4289,support_ticket_count,0.5,inicio,1,1,True,correct,553
cust_4289,support_ticket_count,0.5,meio,1,1,True,correct,555
cust_4289,support_ticket_count,0.5,fim,1,1,True,correct,561
cust_4289,support_ticket_count,0.9,inicio,1,1,True,correct,826
cust_4289,support_ticket_count,0.9,meio,1,1,True,correct,828
cust_4289,support_ticket_count,0.9,fim,1,1,True,correct,837
