customer_id,fact_type,noise_pct,position,expected_answer,model_answer,correct,verdict,context_n_char
cust_701,last_entity,0.0,inicio,ent_14,ent_14,True,correct,131
cust_701,last_entity,0.5,inicio,ent_14,ent_14,True,correct,572
cust_701,last_entity,0.5,meio,ent_14,ent_55,False,hallucination,583
cust_701,last_entity,0.5,fim,ent_14,ent_14,True,correct,573
cust_701,last_entity,0.9,inicio,ent_14,ent_14,True,correct,853
cust_701,last_entity,0.9,meio,ent_14,ent_14,True,correct,860
cust_701,last_entity,0.9,fim,ent_14,ent_14,True,correct,833
cust_202,last_entity,0.0,inicio,ent_15,ent_15,True,correct,131
cust_202,last_entity,0.5,inicio,ent_15,ent_15,True,correct,558
cust_202,last_entity,0.5,meio,ent_15,ent_15,True,correct,561
cust_202,last_entity,0.5,fim,ent_15,ent_15,True,correct,576
cust_202,last_entity,0.9,inicio,ent_15,ent_15,True,correct,856
cust_202,last_entity,0.9,meio,ent_15,ent_15,True,correct,856
cust_202,last_entity,0.9,fim,ent_15,ent_15,True,correct,850
cust_275,support_ticket_count,0.0,inicio,2,2,True,correct,106
cust_275,support_ticket_count,0.5,inicio,2,2,True,correct,540
cust_275,support_ticket_count,0.5,meio,2,2,True,correct,548
cust_275,support_ticket_count,0.5,fim,2,2,True,correct,545
cust_275,support_ticket_count,0.9,inicio,2,2,True,correct,817
cust_275,support_ticket_count,0.9,meio,2,2,True,correct,809
cust_275,support_ticket_count,0.9,fim,2,2,True,correct,821
cust_532,support_ticket_count,0.0,inicio,28,28,True,correct,107
cust_532,support_ticket_count,0.5,inicio,28,28,True,correct,559
cust_532,support_ticket_count,0.5,meio,28,28,True,correct,543
cust_532,support_ticket_count,0.5,fim,28,28,True,correct,531
cust_532,support_ticket_count,0.9,inicio,28,28,True,correct,831
cust_532,support_ticket_count,0.9,meio,28,28,True,correct,846
cust_532,support_ticket_count,0.9,fim,28,28,True,correct,831
