condition,segment,n,correct,accuracy,ci_lower,ci_upper
contexto_completo,leve,60,53,0.8833333333333333,0.7782121197582914,0.9423227935994396
contexto_completo,pesado,50,49,0.98,0.8950455641036219,0.9964607407283539
hibrido_sob_demanda,leve,60,42,0.7,0.5749129205308552,0.8010183386123089
hibrido_sob_demanda,pesado,50,24,0.48,0.34797135286578046,0.6148825510995539
sem_retrieval,leve,60,0,0.0,0.0,0.06017185214208986
sem_retrieval,pesado,50,0,0.0,6.938893903907228e-18,0.07134759913335872
sessao_memoria,leve,60,50,0.8333333333333334,0.7196838683638547,0.9068682302080855
sessao_memoria,pesado,50,32,0.64,0.501410168761127,0.7586125034815325
topk_estatico,leve,60,44,0.7333333333333333,0.6099128690331636,0.8286735999671945
topk_estatico,pesado,50,21,0.42,0.2937500335471198,0.5576655823142176
