customer_id,stage,turn_count,context_n_char,suporte_presente,compra_presente
cust_8171,momento_0,0,718,True,True
cust_8171,turno_1_suporte,1,718,True,True
cust_8171,turno_2_compra,2,718,True,True
cust_240,momento_0,0,835,False,True
cust_240,turno_1_suporte,1,808,False,True
cust_240,turno_2_compra,2,808,False,True
cust_2334,momento_0,0,782,True,True
cust_2334,turno_1_suporte,1,782,True,True
cust_2334,turno_2_compra,2,782,True,True
cust_7700,momento_0,0,915,False,False
cust_7700,turno_1_suporte,1,915,False,False
cust_7700,turno_2_compra,2,915,False,False
cust_9760,momento_0,0,846,True,True
cust_9760,turno_1_suporte,1,846,True,True
cust_9760,turno_2_compra,2,846,True,True
cust_1611,momento_0,0,743,True,True
cust_1611,turno_1_suporte,1,743,True,True
cust_1611,turno_2_compra,2,770,False,True
cust_2952,momento_0,0,668,True,True
cust_2952,turno_1_suporte,1,668,True,True
cust_2952,turno_2_compra,2,668,True,True
cust_6263,momento_0,0,879,False,False
cust_6263,turno_1_suporte,1,901,True,False
cust_6263,turno_2_compra,2,901,True,False
cust_1929,momento_0,0,745,True,True
cust_1929,turno_1_suporte,1,745,True,True
cust_1929,turno_2_compra,2,745,True,True
cust_8524,momento_0,0,650,True,True
cust_8524,turno_1_suporte,1,650,True,True
cust_8524,turno_2_compra,2,650,True,True
cust_4483,momento_0,0,796,True,True
cust_4483,turno_1_suporte,1,796,True,True
cust_4483,turno_2_compra,2,828,True,False
cust_3083,momento_0,0,698,True,False
cust_3083,turno_1_suporte,1,698,True,False
cust_3083,turno_2_compra,2,737,True,True
cust_7889,momento_0,0,828,True,True
cust_7889,turno_1_suporte,1,828,True,True
cust_7889,turno_2_compra,2,828,True,True
cust_5830,momento_0,0,903,True,False
cust_5830,turno_1_suporte,1,903,True,False
cust_5830,turno_2_compra,2,903,True,False
cust_9447,momento_0,0,696,True,True
cust_9447,turno_1_suporte,1,724,True,True
cust_9447,turno_2_compra,2,761,True,True
cust_9293,momento_0,0,824,True,True
cust_9293,turno_1_suporte,1,823,True,True
cust_9293,turno_2_compra,2,823,True,True
cust_5179,momento_0,0,852,True,False
cust_5179,turno_1_suporte,1,852,True,False
cust_5179,turno_2_compra,2,852,True,False
cust_9358,momento_0,0,754,True,True
cust_9358,turno_1_suporte,1,754,True,True
cust_9358,turno_2_compra,2,754,True,True
cust_2801,momento_0,0,902,True,True
cust_2801,turno_1_suporte,1,902,True,True
cust_2801,turno_2_compra,2,900,True,True
cust_7467,momento_0,0,642,True,True
cust_7467,turno_1_suporte,1,642,True,True
cust_7467,turno_2_compra,2,669,False,True
cust_5788,momento_0,0,911,False,False
cust_5788,turno_1_suporte,1,911,False,False
cust_5788,turno_2_compra,2,911,False,False
cust_5458,momento_0,0,908,True,True
cust_5458,turno_1_suporte,1,908,True,True
cust_5458,turno_2_compra,2,908,True,True
cust_129,momento_0,0,845,True,True
cust_129,turno_1_suporte,1,845,True,True
cust_129,turno_2_compra,2,845,True,True
cust_9841,momento_0,0,899,True,True
cust_9841,turno_1_suporte,1,899,True,True
cust_9841,turno_2_compra,2,899,True,True
cust_46,momento_0,0,755,True,True
cust_46,turno_1_suporte,1,755,True,True
cust_46,turno_2_compra,2,755,True,True
cust_396,momento_0,0,862,True,True
cust_396,turno_1_suporte,1,862,True,True
cust_396,turno_2_compra,2,862,True,True
cust_1838,momento_0,0,902,False,False
cust_1838,turno_1_suporte,1,902,False,False
cust_1838,turno_2_compra,2,902,False,False
cust_742,momento_0,0,648,True,True
cust_742,turno_1_suporte,1,648,True,True
cust_742,turno_2_compra,2,648,True,True
cust_5542,momento_0,0,691,True,True
cust_5542,turno_1_suporte,1,691,True,True
cust_5542,turno_2_compra,2,691,True,True
cust_6529,momento_0,0,697,True,True
cust_6529,turno_1_suporte,1,697,True,True
cust_6529,turno_2_compra,2,697,True,True
