customer_id,segment,fact_type,condition,expected_answer,model_answer,correct,verdict,context_n_char
cust_169,leve,last_entity,sem_retrieval,ent_47,,False,malformed,64
cust_169,leve,last_entity,contexto_completo,ent_47,,False,malformed,293
cust_169,leve,last_entity,topk_estatico,ent_47,,False,malformed,247
cust_169,leve,last_entity,hibrido_sob_demanda,ent_47,,False,malformed,487
cust_169,leve,last_entity,sessao_memoria,ent_47,,False,malformed,360
cust_337,leve,last_entity,sem_retrieval,ent_41,,False,malformed,64
cust_337,leve,last_entity,contexto_completo,ent_41,ent_41,True,correct,418
cust_337,leve,last_entity,topk_estatico,ent_41,ent_41,True,correct,240
cust_337,leve,last_entity,hibrido_sob_demanda,ent_41,,False,malformed,517
cust_337,leve,last_entity,sessao_memoria,ent_41,ent_41,True,correct,404
cust_670,leve,last_entity,sem_retrieval,ent_13,,False,malformed,64
cust_670,leve,last_entity,contexto_completo,ent_13,ent_13,True,correct,288
cust_670,leve,last_entity,topk_estatico,ent_13,ent_13,True,correct,242
cust_670,leve,last_entity,hibrido_sob_demanda,ent_13,ent_13,True,correct,498
cust_670,leve,last_entity,sessao_memoria,ent_13,ent_13,True,correct,366
cust_728,leve,last_entity,sem_retrieval,ent_33,,False,malformed,64
cust_728,leve,last_entity,contexto_completo,ent_33,ent_33,True,correct,418
cust_728,leve,last_entity,topk_estatico,ent_33,,False,malformed,240
cust_728,leve,last_entity,hibrido_sob_demanda,ent_33,ent_33,True,correct,452
cust_728,leve,last_entity,sessao_memoria,ent_33,ent_33,True,correct,368
cust_328,leve,last_entity,sem_retrieval,ent_46,,False,malformed,64
cust_328,leve,last_entity,contexto_completo,ent_46,ent_46,True,correct,421
cust_328,leve,last_entity,topk_estatico,ent_46,,False,malformed,243
cust_328,leve,last_entity,hibrido_sob_demanda,ent_46,ent_46,True,correct,458
cust_328,leve,last_entity,sessao_memoria,ent_46,ent_46,True,correct,371
cust_663,leve,last_entity,sem_retrieval,ent_54,,False,malformed,64
cust_663,leve,last_entity,contexto_completo,ent_54,,False,malformed,455
cust_663,leve,last_entity,topk_estatico,ent_54,,False,malformed,187
cust_663,leve,last_entity,hibrido_sob_demanda,ent_54,,False,malformed,509
cust_663,leve,last_entity,sessao_memoria,ent_54,,False,malformed,451
cust_851,leve,last_entity,sem_retrieval,ent_46,,False,malformed,64
cust_851,leve,last_entity,contexto_completo,ent_46,,False,malformed,131
cust_851,leve,last_entity,topk_estatico,ent_46,,False,malformed,111
cust_851,leve,last_entity,hibrido_sob_demanda,ent_46,,False,malformed,483
cust_851,leve,last_entity,sessao_memoria,ent_46,,False,malformed,384
cust_339,leve,last_entity,sem_retrieval,ent_47,,False,malformed,64
cust_339,leve,last_entity,contexto_completo,ent_47,ent_47,True,correct,423
cust_339,leve,last_entity,topk_estatico,ent_47,,False,malformed,245
cust_339,leve,last_entity,hibrido_sob_demanda,ent_47,,False,malformed,499
cust_339,leve,last_entity,sessao_memoria,ent_47,,False,malformed,383
cust_17,leve,last_entity,sem_retrieval,ent_41,,False,malformed,64
cust_17,leve,last_entity,contexto_completo,ent_41,ent_41,True,correct,416
cust_17,leve,last_entity,topk_estatico,ent_41,,False,malformed,231
cust_17,leve,last_entity,hibrido_sob_demanda,ent_41,ent_41,True,correct,445
cust_17,leve,last_entity,sessao_memoria,ent_41,ent_41,True,correct,345
cust_966,leve,last_entity,sem_retrieval,ent_23,,False,malformed,64
cust_966,leve,last_entity,contexto_completo,ent_23,ent_23,True,correct,286
cust_966,leve,last_entity,topk_estatico,ent_23,ent_23,True,correct,182
cust_966,leve,last_entity,hibrido_sob_demanda,ent_23,,False,malformed,528
cust_966,leve,last_entity,sessao_memoria,ent_23,ent_23,True,correct,410
cust_648,leve,last_entity,sem_retrieval,ent_14,,False,malformed,64
cust_648,leve,last_entity,contexto_completo,ent_14,ent_14,True,correct,426
cust_648,leve,last_entity,topk_estatico,ent_14,,False,malformed,232
cust_648,leve,last_entity,hibrido_sob_demanda,ent_14,ent_14,True,correct,465
cust_648,leve,last_entity,sessao_memoria,ent_14,ent_14,True,correct,365
cust_940,leve,last_entity,sem_retrieval,ent_41,,False,malformed,64
cust_940,leve,last_entity,contexto_completo,ent_41,ent_41,True,correct,431
cust_940,leve,last_entity,topk_estatico,ent_41,,False,malformed,247
cust_940,leve,last_entity,hibrido_sob_demanda,ent_41,ent_41,True,correct,457
cust_940,leve,last_entity,sessao_memoria,ent_41,ent_41,True,correct,362
cust_582,leve,last_entity,sem_retrieval,ent_32,,False,malformed,64
cust_582,leve,last_entity,contexto_completo,ent_32,ent_32,True,correct,419
cust_582,leve,last_entity,topk_estatico,ent_32,ent_32,True,correct,237
cust_582,leve,last_entity,hibrido_sob_demanda,ent_32,,False,malformed,493
cust_582,leve,last_entity,sessao_memoria,ent_32,ent_32,True,correct,385
cust_991,leve,last_entity,sem_retrieval,ent_52,,False,malformed,64
cust_991,leve,last_entity,contexto_completo,ent_52,ent_52,True,correct,356
cust_991,leve,last_entity,topk_estatico,ent_52,ent_52,True,correct,197
cust_991,leve,last_entity,hibrido_sob_demanda,ent_52,ent_52,True,correct,521
cust_991,leve,last_entity,sessao_memoria,ent_52,ent_52,True,correct,437
cust_692,leve,last_entity,sem_retrieval,ent_22,,False,malformed,64
cust_692,leve,last_entity,contexto_completo,ent_22,ent_22,True,correct,340
cust_692,leve,last_entity,topk_estatico,ent_22,ent_22,True,correct,231
cust_692,leve,last_entity,hibrido_sob_demanda,ent_22,,False,malformed,460
cust_692,leve,last_entity,sessao_memoria,ent_22,ent_22,True,correct,350
cust_958,leve,last_entity,sem_retrieval,ent_58,,False,malformed,64
cust_958,leve,last_entity,contexto_completo,ent_58,,False,malformed,276
cust_958,leve,last_entity,topk_estatico,ent_58,,False,malformed,230
cust_958,leve,last_entity,hibrido_sob_demanda,ent_58,,False,malformed,467
cust_958,leve,last_entity,sessao_memoria,ent_58,,False,malformed,333
cust_257,leve,last_entity,sem_retrieval,ent_56,,False,malformed,64
cust_257,leve,last_entity,contexto_completo,ent_56,ent_56,True,correct,582
cust_257,leve,last_entity,topk_estatico,ent_56,ent_56,True,correct,245
cust_257,leve,last_entity,hibrido_sob_demanda,ent_56,,False,malformed,522
