customer_id,segment,fact_type,condition,expected_answer,model_answer,correct,verdict,context_n_char
cust_169,leve,last_entity,sem_retrieval,ent_47,,False,malformed,64
cust_169,leve,last_entity,contexto_completo,ent_47,,False,malformed,293
cust_169,leve,last_entity,topk_estatico,ent_47,,False,malformed,247
cust_169,leve,last_entity,hibrido_sob_demanda,ent_47,,False,malformed,487
cust_169,leve,last_entity,sessao_memoria,ent_47,,False,malformed,285
cust_337,leve,last_entity,sem_retrieval,ent_41,,False,malformed,64
cust_337,leve,last_entity,contexto_completo,ent_41,ent_41,True,correct,418
cust_337,leve,last_entity,topk_estatico,ent_41,ent_41,True,correct,240
cust_337,leve,last_entity,hibrido_sob_demanda,ent_41,,False,malformed,517
cust_337,leve,last_entity,sessao_memoria,ent_41,ent_41,True,correct,328
cust_670,leve,last_entity,sem_retrieval,ent_13,,False,malformed,64
cust_670,leve,last_entity,contexto_completo,ent_13,ent_13,True,correct,288
cust_670,leve,last_entity,topk_estatico,ent_13,ent_13,True,correct,242
cust_670,leve,last_entity,hibrido_sob_demanda,ent_13,ent_13,True,correct,498
cust_670,leve,last_entity,sessao_memoria,ent_13,ent_13,True,correct,280
cust_728,leve,last_entity,sem_retrieval,ent_33,,False,malformed,64
cust_728,leve,last_entity,contexto_completo,ent_33,ent_33,True,correct,418
cust_728,leve,last_entity,topk_estatico,ent_33,,False,malformed,240
cust_728,leve,last_entity,hibrido_sob_demanda,ent_33,ent_33,True,correct,452
cust_728,leve,last_entity,sessao_memoria,ent_33,,False,malformed,294
cust_328,leve,last_entity,sem_retrieval,ent_46,,False,malformed,64
cust_328,leve,last_entity,contexto_completo,ent_46,ent_46,True,correct,421
cust_328,leve,last_entity,topk_estatico,ent_46,,False,malformed,243
cust_328,leve,last_entity,hibrido_sob_demanda,ent_46,ent_46,True,correct,458
cust_328,leve,last_entity,sessao_memoria,ent_46,ent_46,True,correct,292
cust_469,pesado,last_entity,sem_retrieval,ent_16,,False,malformed,64
cust_469,pesado,last_entity,contexto_completo,ent_16,ent_16,True,correct,1560
cust_469,pesado,last_entity,topk_estatico,ent_16,ent_16,True,correct,251
cust_469,pesado,last_entity,hibrido_sob_demanda,ent_16,,False,malformed,473
cust_469,pesado,last_entity,sessao_memoria,ent_16,ent_16,True,correct,354
cust_705,pesado,last_entity,sem_retrieval,ent_21,,False,malformed,64
cust_705,pesado,last_entity,contexto_completo,ent_21,ent_21,True,correct,8355
cust_705,pesado,last_entity,topk_estatico,ent_21,ent_21,True,correct,287
cust_705,pesado,last_entity,hibrido_sob_demanda,ent_21,,False,malformed,550
cust_705,pesado,last_entity,sessao_memoria,ent_21,,False,malformed,358
cust_847,pesado,last_entity,sem_retrieval,ent_39,,False,malformed,64
cust_847,pesado,last_entity,contexto_completo,ent_39,ent_39,True,correct,8781
cust_847,pesado,last_entity,topk_estatico,ent_39,,False,malformed,297
cust_847,pesado,last_entity,hibrido_sob_demanda,ent_39,ent_39,True,correct,550
cust_847,pesado,last_entity,sessao_memoria,ent_39,,False,malformed,365
cust_508,pesado,last_entity,sem_retrieval,ent_27,,False,malformed,64
cust_508,pesado,last_entity,contexto_completo,ent_27,ent_27,True,correct,775
cust_508,pesado,last_entity,topk_estatico,ent_27,,False,malformed,241
cust_508,pesado,last_entity,hibrido_sob_demanda,ent_27,,False,malformed,452
cust_508,pesado,last_entity,sessao_memoria,ent_27,,False,malformed,292
cust_305,pesado,last_entity,sem_retrieval,ent_3,,False,malformed,64
cust_305,pesado,last_entity,contexto_completo,ent_3,ent_3,True,correct,4455
cust_305,pesado,last_entity,topk_estatico,ent_3,,False,malformed,275
cust_305,pesado,last_entity,hibrido_sob_demanda,ent_3,,False,malformed,561
cust_305,pesado,last_entity,sessao_memoria,ent_3,,False,malformed,355
cust_418,leve,support_ticket_count,sem_retrieval,1,,False,malformed,64
cust_418,leve,support_ticket_count,contexto_completo,1,1,True,correct,698
cust_418,leve,support_ticket_count,topk_estatico,1,1,True,correct,234
cust_418,leve,support_ticket_count,hibrido_sob_demanda,1,1,True,correct,481
cust_418,leve,support_ticket_count,sessao_memoria,1,1,True,correct,292
cust_529,leve,support_ticket_count,sem_retrieval,1,,False,malformed,64
cust_529,leve,support_ticket_count,contexto_completo,1,1,True,correct,730
cust_529,leve,support_ticket_count,topk_estatico,1,1,True,correct,246
cust_529,leve,support_ticket_count,hibrido_sob_demanda,1,1,True,correct,472
cust_529,leve,support_ticket_count,sessao_memoria,1,1,True,correct,314
cust_683,leve,support_ticket_count,sem_retrieval,1,,False,malformed,64
cust_683,leve,support_ticket_count,contexto_completo,1,1,True,correct,131
cust_683,leve,support_ticket_count,topk_estatico,1,1,True,correct,111
cust_683,leve,support_ticket_count,hibrido_sob_demanda,1,1,True,correct,522
cust_683,leve,support_ticket_count,sessao_memoria,1,1,True,correct,335
cust_157,leve,support_ticket_count,sem_retrieval,1,,False,malformed,64
cust_157,leve,support_ticket_count,contexto_completo,1,1,True,correct,417
cust_157,leve,support_ticket_count,topk_estatico,1,1,True,correct,226
cust_157,leve,support_ticket_count,hibrido_sob_demanda,1,1,True,correct,442
cust_157,leve,support_ticket_count,sessao_memoria,1,1,True,correct,263
cust_419,leve,support_ticket_count,sem_retrieval,2,,False,malformed,64
cust_419,leve,support_ticket_count,contexto_completo,2,2,True,correct,584
cust_419,leve,support_ticket_count,topk_estatico,2,2,True,correct,253
cust_419,leve,support_ticket_count,hibrido_sob_demanda,2,2,True,correct,517
cust_419,leve,support_ticket_count,sessao_memoria,2,2,True,correct,298
cust_475,pesado,support_ticket_count,sem_retrieval,16,,False,malformed,64
cust_475,pesado,support_ticket_count,contexto_completo,16,16,True,correct,8991
cust_475,pesado,support_ticket_count,topk_estatico,16,,False,malformed,287
cust_475,pesado,support_ticket_count,hibrido_sob_demanda,16,16,True,correct,555
cust_475,pesado,support_ticket_count,sessao_memoria,16,,False,malformed,354
cust_531,pesado,support_ticket_count,sem_retrieval,196,,False,malformed,64
cust_531,pesado,support_ticket_count,contexto_completo,196,196,True,correct,8800
cust_531,pesado,support_ticket_count,topk_estatico,196,,False,malformed,292
cust_531,pesado,support_ticket_count,hibrido_sob_demanda,196,196,True,correct,551
cust_531,pesado,support_ticket_count,sessao_memoria,196,,False,malformed,360
