customer_id,stage,turn_count,context_n_char,suporte_presente,compra_presente
cust_85,momento_0,0,614,False,True
cust_85,turno_1_suporte,1,649,False,True
cust_85,turno_2_compra,2,649,False,True
cust_256,momento_0,0,772,False,True
cust_256,turno_1_suporte,1,735,False,True
cust_256,turno_2_compra,2,735,False,True
cust_313,momento_0,0,788,False,False
cust_313,turno_1_suporte,1,788,False,False
cust_313,turno_2_compra,2,793,True,False
cust_813,momento_0,0,623,True,True
cust_813,turno_1_suporte,1,623,True,True
cust_813,turno_2_compra,2,660,True,True
cust_192,momento_0,0,721,False,True
cust_192,turno_1_suporte,1,692,True,True
cust_192,turno_2_compra,2,729,True,True
cust_834,momento_0,0,740,True,True
cust_834,turno_1_suporte,1,740,True,True
cust_834,turno_2_compra,2,740,True,True
cust_86,momento_0,0,673,True,True
cust_86,turno_1_suporte,1,701,True,True
cust_86,turno_2_compra,2,701,True,True
cust_766,momento_0,0,602,False,True
cust_766,turno_1_suporte,1,602,False,True
cust_766,turno_2_compra,2,635,False,False
cust_471,momento_0,0,763,True,True
cust_471,turno_1_suporte,1,763,True,True
cust_471,turno_2_compra,2,728,True,True
cust_266,momento_0,0,702,True,True
cust_266,turno_1_suporte,1,672,True,True
cust_266,turno_2_compra,2,709,True,True
cust_575,momento_0,0,741,True,True
cust_575,turno_1_suporte,1,741,True,True
cust_575,turno_2_compra,2,747,False,True
cust_810,momento_0,0,797,False,False
cust_810,turno_1_suporte,1,797,False,False
cust_810,turno_2_compra,2,797,False,False
cust_705,momento_0,0,789,False,True
cust_705,turno_1_suporte,1,789,False,True
cust_705,turno_2_compra,2,784,False,True
cust_931,momento_0,0,655,True,True
cust_931,turno_1_suporte,1,655,True,True
cust_931,turno_2_compra,2,724,True,False
cust_305,momento_0,0,789,True,True
cust_305,turno_1_suporte,1,789,True,True
cust_305,turno_2_compra,2,769,True,True
cust_69,momento_0,0,803,True,False
cust_69,turno_1_suporte,1,803,True,False
cust_69,turno_2_compra,2,798,True,False
cust_943,momento_0,0,700,True,False
cust_943,turno_1_suporte,1,700,True,False
cust_943,turno_2_compra,2,737,True,False
cust_532,momento_0,0,782,False,True
cust_532,turno_1_suporte,1,782,False,True
cust_532,turno_2_compra,2,789,True,True
cust_509,momento_0,0,624,False,False
cust_509,turno_1_suporte,1,636,True,True
cust_509,turno_2_compra,2,673,True,True
cust_52,momento_0,0,783,False,True
cust_52,turno_1_suporte,1,792,False,True
cust_52,turno_2_compra,2,792,False,True
cust_581,momento_0,0,777,True,True
cust_581,turno_1_suporte,1,777,True,True
cust_581,turno_2_compra,2,784,True,True
cust_512,momento_0,0,782,True,False
cust_512,turno_1_suporte,1,782,True,False
cust_512,turno_2_compra,2,753,False,False
cust_333,momento_0,0,763,True,True
cust_333,turno_1_suporte,1,763,True,True
cust_333,turno_2_compra,2,763,True,True
cust_478,momento_0,0,788,True,False
cust_478,turno_1_suporte,1,788,True,False
cust_478,turno_2_compra,2,788,True,False
cust_11,momento_0,0,751,True,True
cust_11,turno_1_suporte,1,751,True,True
cust_11,turno_2_compra,2,756,True,False
cust_609,momento_0,0,638,True,True
cust_609,turno_1_suporte,1,642,True,True
cust_609,turno_2_compra,2,712,True,False
cust_865,momento_0,0,697,True,True
cust_865,turno_1_suporte,1,697,True,True
cust_865,turno_2_compra,2,761,False,True
cust_541,momento_0,0,649,True,True
cust_541,turno_1_suporte,1,649,True,True
cust_541,turno_2_compra,2,649,True,True
cust_450,momento_0,0,725,True,True
cust_450,turno_1_suporte,1,725,True,True
cust_450,turno_2_compra,2,762,True,True
cust_905,momento_0,0,794,True,True
cust_905,turno_1_suporte,1,727,True,True
cust_905,turno_2_compra,2,733,True,True
